Station,ID,Address,Date,TSS,DO,P,ENT,Sal,Temp,pH,CHL_A,N
303021,Cedar Creek ,,,,,,,,,,,
Cedar Creek ,301031, Coastal Hwy. (Rt. 1),1/17/2024 10:07,14.8,12.08,0.03,29,0.17,2.3,7.2,3.43,4.12
301031,Beaverdam Creek ,,,,,,,,,,,
Beaverdam Creek ,303181, Carpenter Rd. (Rd. 259),1/17/2024 10:17,0.5,12.05,0.08,52,0.05,1.3,6.8,1.88,2.26
303181,Swiggetts Pond ,,,,,,,,,,,
Swiggetts Pond ,301021, Cedar Creek Rd. (Rt. 30),1/17/2024 10:18,5.2,12.46,0.02,19,0.05,2.8,6.7,2.88,4.08
301021,Beaverdam Creek ,,,,,,,,,,,
Beaverdam Creek ,303171, Cave Neck Rd. (Rd. 88),1/17/2024 10:22,0.5,11.7,0.05,106,0.05,2.8,6.5,1.11,4.96
303171,Round Pole Branch ,,,,,,,,,,,
Round Pole Branch ,303311, Cave Neck Rd. (Rd. 88),1/17/2024 10:38,2.6,10.98,0.07,59,0.05,1.8,6.2,4.9,3.83
303311,Broadkill River ,,,,,,,,,,,
Broadkill River ,303031, Union St (Rt. 5),1/17/2024 10:44,3.7,12.45,0.03,102,0.05,2.5,6.3,2.23,3.18
303031,Red Mill Pond ,,,,,,,,,,,
Red Mill Pond ,303051, Rt. 1,1/17/2024 11:05,8.7,12.66,0.04,32,0.05,3.1,6.6,21,2.17
303051,Broadkill River 0.10 Miles From Mouth,,,,,,,,,,,
Broadkill River 0.10 Miles From Mouth,303061,,1/17/2024 11:22,64.5,12.38,0.12,146,5.09,3.2,6.8,7.27,1.55
303061,Broadkill River ,,,,,,,,,,,
Broadkill River ,303041, Rt. 1 Bridge,1/17/2024 11:41,41.8,11.37,0.11,177,0.44,3.1,7,5.03,3.38
303041,Murderkill River ,,,,,,,,,,,
Murderkill River ,206011, Rt. 13,1/18/2024 7:51,1.1,13.21,0.04,--,0.05,1.5,6.3,0.29,4.63
206011,Browns Branch ,,,,,,,,,,,
Browns Branch ,206041, Milford-Harrington Hwy. (Rt. 14),1/18/2024 8:25,1.8,10.84,0.03,--,0.1,5.6,5.4,0.43,3.41
206041,McColley Pond ,,,,,,,,,,,
McColley Pond ,206361, Canterbury Rd. (Rt. 15),1/18/2024 9:04,0.5,12.87,0.03,--,0.12,3.5,5.7,2.19,6.19
206361,Coursey Pond ,,,,,,,,,,,
Coursey Pond ,206451, Canterbury Rd. (Rt. 15),1/18/2024 9:32,2.3,12.54,0.07,--,0.05,3.1,5.7,1.36,3.9
206451,Double Run ,,,,,,,,,,,
Double Run ,206561, Barratts Chapel Rd. (Rd. 371),1/18/2024 9:49,7.5,12.71,0.04,--,0.1,2.5,5.5,1.48,4.29
206561,Murderkill River ,,,,,,,,,,,
Murderkill River ,206091, Bay Rd. (Rt. 1/113),1/18/2024 10:29,32.2,12.29,0.1,--,0.13,2,6.7,2.69,3.64
206091,Murderkill River ,,,,,,,,,,,
Murderkill River ,206101, Bowers Beach Wharf (mouth),1/18/2024 10:50,68.8,11.93,0.04,--,3.86,2,6.9,5.52,2.46
206101,Sewell Branch ,,,,,,,,,,,
Sewell Branch ,112021, Sewell Branch Rd. (Rd. 95),1/30/2024 7:48,3.5,10.79,0.14,119,0.35,8.1,6.5,1.05,1.92
112021,Tappahanna Ditch ,,,,,,,,,,,
Tappahanna Ditch ,207081, Sandy Bend Rd. (Rd. 222),1/30/2024 8:27,5.9,10.61,0.11,65,0.05,8,6.5,1.78,1.75
207081,Culbreth Marsh Ditch ,,,,,,,,,,,
Culbreth Marsh Ditch ,207091, Shady Bridge Rd. (Rd. 210),1/30/2024 8:52,4.2,10.79,0.12,43,0.05,8.2,5.5,1.66,2.25
207091,Cow Marsh Creek ,,,,,,,,,,,
Cow Marsh Creek ,207021, Mahan Corner Rd. (Rd. 208),1/30/2024 9:15,5.3,10.39,0.1,107,0.05,8.3,5.6,1.57,1.77
207021,White Marsh Br. ,,,,,,,,,,,
White Marsh Br. ,207111, Cedar Grove Church Rd. (Rd. 268),1/30/2024 9:59,3.5,10.17,0.11,102,0.05,8.2,5.6,1.6,4.35
207111,St. Jones River ,,,,,,,,,,,
St. Jones River ,205011," mouth, Bowers Beach",1/31/2024 7:25,102,10.86,0.02,193,12.09,6.7,7.1,9.78,1.57
205011,Appoquinimink River ,,,,,,,,,,,
Appoquinimink River ,109091, Mouth,1/31/2024 8:28,20,11.77,0.13,731,1.25,5.9,7.5,1.78,1.43
109091,Deep Creek Branch ,,,,,,,,,,,
Deep Creek Branch ,109251, Summit Bridge Rd. (Rt. 71),1/31/2024 9:00,3.2,11.08,0.05,124,0.16,8.6,7,5.59,4.87
109251,Blackbird Creek ,,,,,,,,,,,
Blackbird Creek ,110011, Blackbird Station Rd. (Rd. 463),1/31/2024 9:40,1.5,12.34,0.03,221,0.05,6.6,6.9,1.51,1.62
110011,Silver Lake ,,,,,,,,,,,
Silver Lake ,205191, Spillway (Dover City Park),1/31/2024 10:24,6.1,10.77,0.06,870,0.1,7.9,6.3,3.49,1.3
205191,Christina River ,,,,,,,,,,,
Christina River ,106141, Sunset Lake Rd. (Rt. 72),2/6/2024 7:50,2,12.41,0.02,48,0.19,4.8,7,0.67,2.53
106141,Smalleys Dam Spillway ,,,,,,,,,,,
Smalleys Dam Spillway ,106031, Smalleys Dam Rd.,2/6/2024 8:02,3.7,12.68,0.04,13,0.19,3.4,7.2,1.19,1.77
106031,Christina River near Conrail Bridge,,,,,,,,,,,
Christina River near Conrail Bridge,106291,,2/6/2024 8:24,18.4,12.11,0.08,27,0.2,6.7,7.4,2.13,2.51
106291,Christina River ,,,,,,,,,,,
Christina River ,106191, Nottingham Rd. (Rt. 273),2/6/2024 8:50,0.7,13.63,0.02,32,0.13,3.9,7.3,1.05,3.2
106191,Brandywine Creek ,,,,,,,,,,,
Brandywine Creek ,104011, Foot Bridge in Brandywine Park,2/6/2024 9:01,2,13.08,0.05,263,0.19,5.9,7.4,1.98,3.85
104011,White Clay Creek ,,,,,,,,,,,
White Clay Creek ,105171, McKees Lane,2/6/2024 9:07,0.7,13.43,0.03,32,0.18,3.4,7.1,0.9,4.49
105171,Brandywine Creek ,,,,,,,,,,,
Brandywine Creek ,104021, New Bridge Rd. (Rd. 279),2/6/2024 9:23,2.1,13.16,0.03,8,0.18,6,7.1,2.02,3.73
104021,White Clay Creek ,,,,,,,,,,,
White Clay Creek ,105031, Chambers Rock Rd. (Rd. 329),2/6/2024 9:31,2.4,13.18,0.03,42,0.18,3,7.4,1.15,4.83
105031,White Clay Creek ,,,,,,,,,,,
White Clay Creek ,105151, Delaware Park Blvd.,2/6/2024 9:37,2.4,13.55,0.01,19,0.19,2.8,7.2,0.7,3
105151,Red Clay Creek ,,,,,,,,,,,
Red Clay Creek ,103031, Lancaster Pike (Rt. 48),2/6/2024 9:49,0.5,13.02,0.03,13,0.23,4.2,7.1,1.98,3.88
103031,Red Clay Creek ,,,,,,,,,,,
Red Clay Creek ,103011, W. Newport Pike (Rt. 4),2/6/2024 9:56,1,13.47,0.03,68,0.2,3.3,7.5,1.8,3.69
103011,Red Clay Creek ,,,,,,,,,,,
Red Clay Creek ,103041, Barley Mill Rd. (Rd. 258A),2/6/2024 10:03,0.5,13.72,0.04,22,0.25,4.1,7.2,2.97,4.47
103041,Christina River ,,,,,,,,,,,
Christina River ,106021, Rt. 141 off Water St.,2/6/2024 10:11,6.2,13.35,0.06,27,0.2,3.3,7.5,1.92,2.93
106021,Burroughs Run ,,,,,,,,,,,
Burroughs Run ,103061, Creek Rd. (Rt. 82),2/6/2024 10:20,0.5,13.88,0.02,15,0.15,3.3,7.1,4.58,2.64
103061,Brandywine Creek ,,,,,,,,,,,
Brandywine Creek ,104051, Smith Bridge Rd. (Rd. 221),2/6/2024 11:04,0.5,13.48,0.01,10,0.21,6.3,7,1.53,2.66
104051,Little Mill Creek ,,,,,,,,,,,
Little Mill Creek ,106281, DuPont Rd.,2/6/2024 17:52,0.5,13.01,0.02,1030,0.48,4.7,7.4,0.68,1.65
106281,Little River ,,,,,,,,,,,
Little River ,204031, Bayside Dr. (Rt. 9),2/13/2024 7:27,153,9.73,0.12,657,3.76,7.7,6.7,13.3,1.78
204031,Little River ,,,,,,,,,,,
Little River ,204041, N. Little Creek Rd. (Rt. 8),2/13/2024 8:08,6,8.42,0.08,52,0.21,9.2,6.3,2.93,1.48
204041,Leipsic River ,,,,,,,,,,,
Leipsic River ,202191, Mt. Friendship Rd. (Rt. 15),2/13/2024 8:20,58,10.62,0.26,1220,0.12,9.1,7.1,12.4,3.27
202191,Garrisons Lake ,,,,,,,,,,,
Garrisons Lake ,202021, DuPont Hwy. (Rt. 13),2/13/2024 8:34,15.7,9.94,0.16,20,0.11,8,7,13.5,3.31
202021,Leipsic River ,,,,,,,,,,,
Leipsic River ,202031, Denny St. (Rt. 9),2/13/2024 8:50,40.7,10.26,0.09,31,3.86,7.9,6.5,5.53,1.63
202031,Mill Creek ,,,,,,,,,,,
Mill Creek ,201021, Carter Rd. (Rd. 137),2/13/2024 8:51,46,10.39,0.1,528,0.1,7.1,6.7,6,2.5
201021,Providence Creek ,,,,,,,,,,,
Providence Creek ,201161, Duck Creek Rd. (Rt. 15),2/13/2024 9:08,68.7,11.1,0.24,2480,0.05,6.7,6.6,9.12,2.75
201161,Smyrna River ,,,,,,,,,,,
Smyrna River ,201041, Flemings Landing (Rt. 9),2/13/2024 9:25,38,10.34,0.07,1570,3.27,7.6,6.8,4.11,1.46
201041,Mill Creek (Lake Como outfall) ,,,,,,,,,,,
Mill Creek (Lake Como outfall) ,201011, Rt. 13,2/13/2024 9:40,13.3,11.58,0.09,41,0.11,6.5,6.9,37.3,2.29
201011,DucK Creek ,,,,,,,,,,,
DucK Creek ,201051, Smyrna Landing Rd. (Rd. 485),2/13/2024 9:51,57.7,10.69,0.07,226,0.38,6.9,6.8,11,2.76
201051,Blackbird Creek ,,,,,,,,,,,
Blackbird Creek ,110041, Taylors Bridge Rd. (Rt. 9),2/13/2024 9:53,47.4,10.97,0.12,109,2.11,6.4,7.3,3.22,1.42
110041,Blackbird Creek ,,,,,,,,,,,
Blackbird Creek ,110031, Blackbird Landing Rd. (Rd. 455),2/13/2024 10:24,37.7,10.75,0.07,120,0.33,8.2,7.1,6.62,1.66
110031,Blackbird Creek ,,,,,,,,,,,
Blackbird Creek ,110011, Blackbird Station Rd. (Rd. 463),2/13/2024 10:40,2.5,11.82,0.02,86,0.05,7.6,6.7,2.21,2.03
110011,St. Jones River ,,,,,,,,,,,
St. Jones River ,205011," mouth, Bowers Beach",2/14/2024 7:30,107,10.81,0.02,110,13.15,7,7,12.1,1.16
205011,St. Jones River ,,,,,,,,,,,
St. Jones River ,205091, East Lebanon Rd. (Rt. 10),2/14/2024 8:21,45.8,10.63,0.05,240,2.07,7,7.2,5.53,2.66
205091,Derby Pond ,,,,,,,,,,,
Derby Pond ,205211, Boat Ramp (Rt. 13A),2/14/2024 9:19,3.4,11.12,0.04,187,0.15,9,7.4,5.65,4.18
205211,Moores Lake ,,,,,,,,,,,
Moores Lake ,205181, S. State St. (Rd. 27),2/14/2024 9:57,5.1,11.14,0.04,101,0.13,9.1,6.9,4.08,5.62
205181,Fork Branch ,,,,,,,,,,,
Fork Branch ,205151, State College Rd. (Rd. 69),2/14/2024 10:43,6,11.7,0.13,1370,0.05,6.5,7.1,4.14,1.6
205151,Silver Lake ,,,,,,,,,,,
Silver Lake ,205191, Spillway (Dover City Park),2/14/2024 11:14,7,11.03,0.09,32,0.1,9.1,6.5,10.3,1.83
205191,Murderkill River ,,,,,,,,,,,
Murderkill River ,206011, Rt. 13,2/20/2024 7:35,31.8,12.16,0.02,114,0.1,4.4,6.6,19.4,4.15
206011,Browns Branch ,,,,,,,,,,,
Browns Branch ,206041, Milford-Harrington Hwy. (Rt. 14),2/20/2024 7:43,2.1,10.25,0.03,86,0.1,6.9,5.9,1.99,3.54
206041,Murderkill River ,,,,,,,,,,,
Murderkill River ,206101, Bowers Beach Wharf (mouth),2/20/2024 8:09,263,11.5,0.02,62,18.95,5.7,7.7,33.1,0.58
206101,Murderkill River ,,,,,,,,,,,
Murderkill River ,206091, Bay Rd. (Rt. 1/113),2/20/2024 8:42,63.4,11.16,0.07,26,1.14,6.4,7.7,7.52,4.2
206091,McColley Pond ,,,,,,,,,,,
McColley Pond ,206361, Canterbury Rd. (Rt. 15),2/20/2024 8:57,1.6,12.59,0.02,6,0.12,7.4,6.4,4.03,5.04
206361,Coursey Pond ,,,,,,,,,,,
Coursey Pond ,206451, Canterbury Rd. (Rt. 15),2/20/2024 9:53,2.1,11.95,0.03,2,0.1,8.3,6,3.58,4.7
206451,Double Run ,,,,,,,,,,,
Double Run ,206561, Barratts Chapel Rd. (Rd. 371),2/20/2024 10:38,11.8,11.62,0.04,10,0.14,7.5,6.2,5.63,3.97
206561,Beaverdam Branch ,,,,,,,,,,,
Beaverdam Branch ,208231, Deep Grass Ln. (Rd. 384),2/21/2024 7:58,1.9,10.89,0.02,48,0.05,7.6,6.1,0.71,5.6
208231,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),2/21/2024 8:30,0.7,12.22,0.02,8,0.05,7.8,5.9,6.02,6.01
208181,Silver Lake ,,,,,,,,,,,
Silver Lake ,208211, Maple Ave.,2/21/2024 8:57,1.6,12.86,0.02,2,0.1,7.2,6,5.88,5.84
208211,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,2/21/2024 9:25,1.6,12.62,0.02,6,0.11,7.6,6.1,5.08,5.59
208021,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,2/21/2024 10:05,97.8,11.23,0.01,52,23.63,7.4,7.6,40.7,0.77
208061,Cedar Creek ,,,,,,,,,,,
Cedar Creek ,301091, Cedar Beach Rd. (Rt. 36),2/21/2024 10:22,81.3,11.16,0.12,20,23.96,7,7.8,40.1,0.82
301091,Cedar Creek ,,,,,,,,,,,
Cedar Creek ,301031, Coastal Hwy. (Rt. 1),2/21/2024 10:51,25.3,11.33,0.05,32,0.58,7.7,7.7,6.59,4.84
301031,Swiggetts Pond ,,,,,,,,,,,
Swiggetts Pond ,301021, Cedar Creek Rd. (Rt. 30),2/21/2024 11:06,2.4,12.05,0.02,1,0.13,7.4,7.4,1.69,4.8
301021,Clear Brook ,,,,,,,,,,,
Clear Brook ,304371, Cannon Rd. (Rt. 18),2/27/2024 7:47,1,9.7,0.02,60,0.1,9.3,6.7,2.68,5.84
304371,Raccoon Prong ,,,,,,,,,,,
Raccoon Prong ,307371, Pepperbox Rd. (Rd. 66),2/27/2024 7:56,1.5,9.06,0.03,8,0.05,9.9,5.9,9.04,1.25
307371,Bucks Branch ,,,,,,,,,,,
Bucks Branch ,304381, Conrail Rd. (Rd. 546),2/27/2024 8:04,2.3,9.87,0.02,58,0.1,10.1,6.6,2.12,9.85
304381,Williams Pond ,,,,,,,,,,,
Williams Pond ,304321, East Poplar St.,2/27/2024 8:19,3.4,11.89,0.03,2,0.05,8.9,6.9,9.88,6.83
304321,Nanticoke River ,,,,,,,,,,,
Nanticoke River ,304151, Buoy 66 (mouth of DuPont Gut),2/27/2024 8:34,5.7,11.33,0.03,52,0.05,9.1,6.9,4.77,4.6
304151,Nanticoke River ,,,,,,,,,,,
Nanticoke River ,304471, Rt. 13,2/27/2024 8:48,6.4,11.22,0.03,27,0.05,10.7,6.1,4.18,4.56
304471,Nanticoke River ,,,,,,,,,,,
Nanticoke River ,304011, Sharptown,2/27/2024 9:05,9,11.21,0.04,29,0.05,9.3,6.6,5.93,4.95
304011,Concord Pond ,,,,,,,,,,,
Concord Pond ,304311, German Rd. (Rd. 524),2/27/2024 9:07,1.9,10.75,0.03,2,0.05,12,5.6,1.89,3.31
304311,Deep Creek ,,,,,,,,,,,
Deep Creek ,304741, Old Furnace Rd. (Rd. 46),2/27/2024 9:41,5.3,10.16,0.02,4,0.05,11.6,5.1,1.96,2.29
304741,Horsey Pond ,,,,,,,,,,,
Horsey Pond ,307171, Sharptown Rd. (Rt. 24),2/27/2024 9:41,1.5,10.67,0.05,13,0.05,10.6,6.4,2.69,5.23
307171,Records Pond ,,,,,,,,,,,
Records Pond ,307011, Willow Street,2/27/2024 9:54,1.9,11.79,0.03,8,0.05,11.3,6.5,4.62,6.16
307011,Gravelly Branch ,,,,,,,,,,,
Gravelly Branch ,316011, Coverdale Rd. (Rd. 525),2/27/2024 9:55,4.3,10.86,0.02,17,0.05,11.2,5.2,1.45,2.99
316011,Broad Creek ,,,,,,,,,,,
Broad Creek ,307031, Bethel Rd. (Rd. 493),2/27/2024 10:14,9.4,10.9,0.04,13,0.05,11.4,6.4,9.35,6.6
307031,Gravelly Branch ,,,,,,,,,,,
Gravelly Branch ,316031, Deer Forest Rd. (Rd. 565),2/27/2024 10:39,3.8,9.28,0.02,1,0.05,13.6,5.1,2.1,2.26
316031,Nanticoke River ,,,,,,,,,,,
Nanticoke River ,304681, Beach Hwy. (Rt. 16),2/27/2024 11:23,7.6,9.6,0.04,1,0.05,14.4,5.1,3.66,4.32
304681,Murderkill River ,,,,,,,,,,,
Murderkill River ,206011, Rt. 13,9/25/2024 7:29,3,8.57,0.05,3110,0.23,18.9,7.2,0.42,4.69
206011,Murderkill River ,,,,,,,,,,,
Murderkill River ,206101, Bowers Beach Wharf (mouth),9/25/2024 8:18,93.7,7.2,0.08,160,25.91,20.7,8,14.8,0.52
206101,Beaverdam Branch ,,,,,,,,,,,
Beaverdam Branch ,208231, Deep Grass Ln. (Rd. 384),9/25/2024 9:15,4.1,8.56,0.03,1730,0.43,19.2,7.2,14.4,5.69
208231,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,9/25/2024 9:48,69,6.41,0.08,84,26.57,20.6,7.3,8.01,0.4
208061,Broadkill River 0.10 Miles From Mouth,,,,,,,,,,,
Broadkill River 0.10 Miles From Mouth,303061,,9/25/2024 10:41,56.4,5.92,0.04,134,26.31,20.7,7.2,6.69,0.4
303061,Naaman Creek ,,,,,,,,,,,
Naaman Creek ,101021, State Line near Hickman Rd.,12/7/2022 7:43,4.7,11.07,0.06,4840,0.1,10.2,7.6,1.68,0.99
101021,Naaman Creek ,,,,,,,,,,,
Naaman Creek ,101021, State Line near Hickman Rd.,2/7/2023 7:49,0.5,12.86,0.01,8,0.24,3.4,7.4,1.4,1.92
101021,Naaman Creek ,,,,,,,,,,,
Naaman Creek ,101021, State Line near Hickman Rd.,4/5/2023 7:53,1.7,9.26,0.01,109,0.23,14.9,7.2,2.27,1.35
101021,Naaman Creek ,,,,,,,,,,,
Naaman Creek ,101021, State Line near Hickman Rd.,6/7/2023 8:18,2.4,8.71,0.04,615,0.27,16.7,7,1.02,1.61
101021,Naaman Creek ,,,,,,,,,,,
Naaman Creek ,101021, State Line near Hickman Rd.,7/11/2023 7:59,1.5,8.7,0.05,1540,0.19,20.7,7,0.94,1.38
101021,Naaman Creek ,,,,,,,,,,,
Naaman Creek ,101021, State Line near Hickman Rd.,8/2/2023 8:11,1.4,8.95,0.04,922,0.25,19.3,7.3,0.81,1.48
101021,Naaman Creek ,,,,,,,,,,,
Naaman Creek ,101021, State Line near Hickman Rd.,9/6/2023 8:15,1.3,7.34,0.04,394,0.27,22.8,6.8,0.87,1.42
101021,Naaman Creek ,,,,,,,,,,,
Naaman Creek ,101021, State Line near Hickman Rd.,10/4/2023 7:51,0.5,8.92,0.04,456,0.28,17.9,7,1,1.6
101021,Naaman Creek ,,,,,,,,,,,
Naaman Creek ,101021, State Line near Hickman Rd.,11/2/2023 8:19,0.5,10.73,0.03,293,0.29,9.1,6.8,0.51,0.86
101021,Naaman Creek S. Branch ,,,,,,,,,,,
Naaman Creek S. Branch ,101031, Darley Rd. (Rd. 207),12/7/2022 7:25,3.6,11.29,0.12,4840,0.05,10.8,8,1.31,1.14
101031,Naaman Creek S. Branch ,,,,,,,,,,,
Naaman Creek S. Branch ,101031, Darley Rd. (Rd. 207),2/7/2023 7:36,0.5,13.34,0.01,15,0.2,3.1,7.7,1,1.65
101031,Naaman Creek S. Branch ,,,,,,,,,,,
Naaman Creek S. Branch ,101031, Darley Rd. (Rd. 207),4/5/2023 7:28,1.4,9.47,0.01,37,0.26,14.5,7.6,1.45,0.89
101031,Naaman Creek S. Branch ,,,,,,,,,,,
Naaman Creek S. Branch ,101031, Darley Rd. (Rd. 207),6/7/2023 7:33,6.1,8.56,0.04,456,0.21,16.9,7.4,1.43,0.98
101031,Naaman Creek S. Branch ,,,,,,,,,,,
Naaman Creek S. Branch ,101031, Darley Rd. (Rd. 207),7/11/2023 7:45,1.1,8.3,0.06,1960,0.12,21.5,7.1,1.41,1.06
101031,Naaman Creek S. Branch ,,,,,,,,,,,
Naaman Creek S. Branch ,101031, Darley Rd. (Rd. 207),8/2/2023 7:28,0.5,8.84,0.05,1100,0.16,19.3,7.7,1.18,0.87
101031,Naaman Creek S. Branch ,,,,,,,,,,,
Naaman Creek S. Branch ,101031, Darley Rd. (Rd. 207),9/6/2023 8:03,0.5,7.27,0.05,922,0.19,24,7.2,0.69,0.74
101031,Naaman Creek S. Branch ,,,,,,,,,,,
Naaman Creek S. Branch ,101031, Darley Rd. (Rd. 207),10/4/2023 7:09,0.5,8.84,0.04,197,0.24,17.8,7.6,0.71,1.19
101031,Naaman Creek S. Branch ,,,,,,,,,,,
Naaman Creek S. Branch ,101031, Darley Rd. (Rd. 207),11/2/2023 7:45,0.5,10.73,0.03,187,0.21,8.3,7,0.68,0.22
101031,Naaman Creek South Branch ,,,,,,,,,,,
Naaman Creek South Branch ,101061, Marsh Rd. (Rt. 3),12/7/2022 8:03,3.1,11.27,0.11,4840,0.05,10.4,7.6,1.05,1.34
101061,Naaman Creek South Branch ,,,,,,,,,,,
Naaman Creek South Branch ,101061, Marsh Rd. (Rt. 3),2/7/2023 8:17,0.5,13.42,0.01,22,0.16,3.8,7.6,1.4,1.96
101061,Naaman Creek South Branch ,,,,,,,,,,,
Naaman Creek South Branch ,101061, Marsh Rd. (Rt. 3),4/5/2023 8:17,1.4,9.88,0.01,38,0.15,15,7.3,5.58,1.26
101061,Naaman Creek South Branch ,,,,,,,,,,,
Naaman Creek South Branch ,101061, Marsh Rd. (Rt. 3),6/7/2023 8:37,6.8,9.24,0.05,54,0.17,16.7,7.3,4.24,1.65
101061,Naaman Creek South Branch ,,,,,,,,,,,
Naaman Creek South Branch ,101061, Marsh Rd. (Rt. 3),7/11/2023 8:18,1.1,8.56,0.08,521,0.13,21.2,7.2,1.24,1.61
101061,Naaman Creek South Branch ,,,,,,,,,,,
Naaman Creek South Branch ,101061, Marsh Rd. (Rt. 3),8/2/2023 8:31,0.5,8.98,0.05,91,0.15,19.6,7.5,0.69,1.46
101061,Naaman Creek South Branch ,,,,,,,,,,,
Naaman Creek South Branch ,101061, Marsh Rd. (Rt. 3),9/6/2023 8:33,0.5,8.17,0.05,372,0.17,23.1,7.2,0.48,1.19
101061,Naaman Creek South Branch ,,,,,,,,,,,
Naaman Creek South Branch ,101061, Marsh Rd. (Rt. 3),10/4/2023 8:32,0.5,9.09,0.05,37,0.19,18.2,7.2,0.45,1.69
101061,Naaman Creek South Branch ,,,,,,,,,,,
Naaman Creek South Branch ,101061, Marsh Rd. (Rt. 3),11/2/2023 9:01,2.9,11.37,0.04,335,0.19,8.5,6.8,5.71,0.47
101061,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102041, Hay Rd. (Rd. 501),12/7/2022 9:30,65.1,10.47,0.21,4840,0.14,10.7,7.2,3.87,1.86
102041,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102041, Hay Rd. (Rd. 501),2/7/2023 9:53,10.6,10.19,0.05,35,0.32,5,6.9,1.62,1.99
102041,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102041, Hay Rd. (Rd. 501),4/5/2023 9:40,18.6,6.57,0.09,106,0.26,15.9,6.6,7.21,1.53
102041,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102041, Hay Rd. (Rd. 501),6/7/2023 9:40,16.6,6.05,0.1,2090,0.46,20,6.7,7.36,1.55
102041,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102041, Hay Rd. (Rd. 501),7/11/2023 10:13,27.1,6.48,0.14,428,0.2,27.7,7,7.9,2.1
102041,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102041, Hay Rd. (Rd. 501),8/2/2023 10:31,13,5.56,0.14,615,0.32,26,7,15.6,2.76
102041,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102041, Hay Rd. (Rd. 501),9/6/2023 10:20,16.2,5.19,0.11,731,0.32,27.7,6.5,7.82,1.64
102041,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102041, Hay Rd. (Rd. 501),10/4/2023 10:08,11.3,5.59,0.1,187,0.33,22,6.4,3.19,1.23
102041,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102041, Hay Rd. (Rd. 501),11/2/2023 10:39,13,8.72,0.08,135,0.43,10.7,6.4,7.84,1.17
102041,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102051, Market St. (Rt. 13 Bus.),12/7/2022 8:58,3.1,11.37,0.1,4840,0.1,10.6,7.5,1.71,1.17
102051,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102051, Market St. (Rt. 13 Bus.),1/4/2023 7:24,0.5,11.22,0.04,27,0.3,10,7.8,0.25,1.42
102051,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102051, Market St. (Rt. 13 Bus.),2/7/2023 9:08,0.5,14.12,0.02,15,0.27,3.5,7.5,1.02,1.42
102051,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102051, Market St. (Rt. 13 Bus.),3/1/2023 7:22,0.5,12.76,0.02,19,0.19,5.4,7,2.58,1.13
102051,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102051, Market St. (Rt. 13 Bus.),4/5/2023 8:50,0.5,10.38,0.02,24,0.24,14.7,7.4,3.28,0.72
102051,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102051, Market St. (Rt. 13 Bus.),5/2/2023 7:52,2.2,10.49,0.04,496,0.21,12.4,7.8,0.93,1.33
102051,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102051, Market St. (Rt. 13 Bus.),6/7/2023 9:21,1,9.24,0.04,117,0.32,18.3,7.3,1.73,1.38
102051,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102051, Market St. (Rt. 13 Bus.),7/11/2023 9:43,0.5,8.48,0.05,690,0.21,26.1,7.5,1.52,1.08
102051,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102051, Market St. (Rt. 13 Bus.),9/6/2023 10:05,0.5,7.73,0.12,1,0.3,25.7,7,1.04,1.9
102051,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102051, Market St. (Rt. 13 Bus.),11/2/2023 10:12,0.5,10.37,0.11,1,0.33,12.8,6.9,0.25,1.91
102051,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102081, Carr Rd.,12/7/2022 8:42,3.2,11.41,0.12,4840,0.05,10.5,7.6,1.55,1.14
102081,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102081, Carr Rd.,2/7/2023 8:56,1.7,14.04,0.01,6,0.22,4.3,7.5,5.61,1.43
102081,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102081, Carr Rd.,4/5/2023 8:39,0.5,10.14,0,17,0.19,14.9,7.4,3.5,0.58
102081,Shellpot Creek ,,,,,,,,,,,
